Area,Item,Year,Value
Albania,Cost of a healthy diet (PPP dollar per person per day),2017,3.952
Albania,Cost of a healthy diet (PPP dollar per person per day),2018,4.069
Albania,Cost of a healthy diet (PPP dollar per person per day),2019,4.262
Albania,Cost of a healthy diet (PPP dollar per person per day),2020,4.28
Albania,Cost of a healthy diet (PPP dollar per person per day),2021,4.388
Albania,Percentage of the population unable to afford a healthy diet (percent),2017,31.3
Albania,Percentage of the population unable to afford a healthy diet (percent),2018,23
Albania,Percentage of the population unable to afford a healthy diet (percent),2019,22.2
Albania,Percentage of the population unable to afford a healthy diet (percent),2020,19.9
Albania,Percentage of the population unable to afford a healthy diet (percent),2021,15.9
Algeria,Cost of a healthy diet (PPP dollar per person per day),2017,3.763
Algeria,Cost of a healthy diet (PPP dollar per person per day),2018,3.822
Algeria,Cost of a healthy diet (PPP dollar per person per day),2019,3.796
Algeria,Cost of a healthy diet (PPP dollar per person per day),2020,3.76
Algeria,Cost of a healthy diet (PPP dollar per person per day),2021,4.043
Algeria,Percentage of the population unable to afford a healthy diet (percent),2017,32.5
Algeria,Percentage of the population unable to afford a healthy diet (percent),2018,31.2
Algeria,Percentage of the population unable to afford a healthy diet (percent),2019,29.2
Algeria,Percentage of the population unable to afford a healthy diet (percent),2020,31.1
Algeria,Percentage of the population unable to afford a healthy diet (percent),2021,32.4
Argentina,Cost of a healthy diet (PPP dollar per person per day),2017,3.341
Argentina,Cost of a healthy diet (PPP dollar per person per day),2018,
Argentina,Cost of a healthy diet (PPP dollar per person per day),2019,
Argentina,Cost of a healthy diet (PPP dollar per person per day),2020,
Argentina,Cost of a healthy diet (PPP dollar per person per day),2021,
Argentina,Percentage of the population unable to afford a healthy diet (percent),2017,6.8
Argentina,Percentage of the population unable to afford a healthy diet (percent),2018,
Argentina,Percentage of the population unable to afford a healthy diet (percent),2019,
Argentina,Percentage of the population unable to afford a healthy diet (percent),2020,
Argentina,Percentage of the population unable to afford a healthy diet (percent),2021,
Belarus,Cost of a healthy diet (PPP dollar per person per day),2017,3.177
Belarus,Cost of a healthy diet (PPP dollar per person per day),2018,3.228
Belarus,Cost of a healthy diet (PPP dollar per person per day),2019,3.31
Belarus,Cost of a healthy diet (PPP dollar per person per day),2020,3.31
Belarus,Cost of a healthy diet (PPP dollar per person per day),2021,3.471
Belarus,Percentage of the population unable to afford a healthy diet (percent),2017,2.1
Belarus,Percentage of the population unable to afford a healthy diet (percent),2018,1.1
Belarus,Percentage of the population unable to afford a healthy diet (percent),2019,1.4
Belarus,Percentage of the population unable to afford a healthy diet (percent),2020,0.7
Belarus,Percentage of the population unable to afford a healthy diet (percent),2021,0.5
Bolivia (Plurinational State of),Cost of a healthy diet (PPP dollar per person per day),2017,3.551
Bolivia (Plurinational State of),Cost of a healthy diet (PPP dollar per person per day),2018,3.648
Bolivia (Plurinational State of),Cost of a healthy diet (PPP dollar per person per day),2019,3.769
Bolivia (Plurinational State of),Cost of a healthy diet (PPP dollar per person per day),2020,3.755
Bolivia (Plurinational State of),Cost of a healthy diet (PPP dollar per person per day),2021,3.927
Bolivia (Plurinational State of),Percentage of the population unable to afford a healthy diet (percent),2017,20.9
Bolivia (Plurinational State of),Percentage of the population unable to afford a healthy diet (percent),2018,19.1
Bolivia (Plurinational State of),Percentage of the population unable to afford a healthy diet (percent),2019,16
Bolivia (Plurinational State of),Percentage of the population unable to afford a healthy diet (percent),2020,17.2
Bolivia (Plurinational State of),Percentage of the population unable to afford a healthy diet (percent),2021,15.1
Bosnia and Herzegovina,Cost of a healthy diet (PPP dollar per person per day),2017,3.847
Bosnia and Herzegovina,Cost of a healthy diet (PPP dollar per person per day),2018,3.907
Bosnia and Herzegovina,Cost of a healthy diet (PPP dollar per person per day),2019,4.043
Bosnia and Herzegovina,Cost of a healthy diet (PPP dollar per person per day),2020,3.961
Bosnia and Herzegovina,Cost of a healthy diet (PPP dollar per person per day),2021,4.105
Bosnia and Herzegovina,Percentage of the population unable to afford a healthy diet (percent),2017,4.7
Bosnia and Herzegovina,Percentage of the population unable to afford a healthy diet (percent),2018,4
Bosnia and Herzegovina,Percentage of the population unable to afford a healthy diet (percent),2019,3.9
Bosnia and Herzegovina,Percentage of the population unable to afford a healthy diet (percent),2020,3
Bosnia and Herzegovina,Percentage of the population unable to afford a healthy diet (percent),2021,3
Brazil,Cost of a healthy diet (PPP dollar per person per day),2017,2.809
Brazil,Cost of a healthy diet (PPP dollar per person per day),2018,2.8
Brazil,Cost of a healthy diet (PPP dollar per person per day),2019,2.882
Brazil,Cost of a healthy diet (PPP dollar per person per day),2020,3.084
Brazil,Cost of a healthy diet (PPP dollar per person per day),2021,3.35
Brazil,Percentage of the population unable to afford a healthy diet (percent),2017,19.6
Brazil,Percentage of the population unable to afford a healthy diet (percent),2018,18.5
Brazil,Percentage of the population unable to afford a healthy diet (percent),2019,18.8
Brazil,Percentage of the population unable to afford a healthy diet (percent),2020,12.7
Brazil,Percentage of the population unable to afford a healthy diet (percent),2021,22.4
Bulgaria,Cost of a healthy diet (PPP dollar per person per day),2017,3.78
Bulgaria,Cost of a healthy diet (PPP dollar per person per day),2018,3.876
Bulgaria,Cost of a healthy diet (PPP dollar per person per day),2019,4.036
Bulgaria,Cost of a healthy diet (PPP dollar per person per day),2020,4.129
Bulgaria,Cost of a healthy diet (PPP dollar per person per day),2021,4.151
Bulgaria,Percentage of the population unable to afford a healthy diet (percent),2017,10.6
Bulgaria,Percentage of the population unable to afford a healthy diet (percent),2018,8.6
Bulgaria,Percentage of the population unable to afford a healthy diet (percent),2019,8.1
Bulgaria,Percentage of the population unable to afford a healthy diet (percent),2020,5.8
Bulgaria,Percentage of the population unable to afford a healthy diet (percent),2021,4.2
Burundi,Cost of a healthy diet (PPP dollar per person per day),2017,2.988
Burundi,Cost of a healthy diet (PPP dollar per person per day),2018,2.804
Burundi,Cost of a healthy diet (PPP dollar per person per day),2019,2.783
Burundi,Cost of a healthy diet (PPP dollar per person per day),2020,2.943
Burundi,Cost of a healthy diet (PPP dollar per person per day),2021,3.138
Burundi,Percentage of the population unable to afford a healthy diet (percent),2017,95.8
Burundi,Percentage of the population unable to afford a healthy diet (percent),2018,95
Burundi,Percentage of the population unable to afford a healthy diet (percent),2019,95
Burundi,Percentage of the population unable to afford a healthy diet (percent),2020,95.7
Burundi,Percentage of the population unable to afford a healthy diet (percent),2021,95.9
Cabo Verde,Cost of a healthy diet (PPP dollar per person per day),2017,3.358
Cabo Verde,Cost of a healthy diet (PPP dollar per person per day),2018,3.413
Cabo Verde,Cost of a healthy diet (PPP dollar per person per day),2019,3.484
Cabo Verde,Cost of a healthy diet (PPP dollar per person per day),2020,3.563
Cabo Verde,Cost of a healthy diet (PPP dollar per person per day),2021,3.683
Cabo Verde,Percentage of the population unable to afford a healthy diet (percent),2017,44.5
Cabo Verde,Percentage of the population unable to afford a healthy diet (percent),2018,42.2
Cabo Verde,Percentage of the population unable to afford a healthy diet (percent),2019,39.7
Cabo Verde,Percentage of the population unable to afford a healthy diet (percent),2020,44
Cabo Verde,Percentage of the population unable to afford a healthy diet (percent),2021,41.2
Central African Republic,Cost of a healthy diet (PPP dollar per person per day),2017,3.423
Central African Republic,Cost of a healthy diet (PPP dollar per person per day),2018,3.507
Central African Republic,Cost of a healthy diet (PPP dollar per person per day),2019,3.57
Central African Republic,Cost of a healthy diet (PPP dollar per person per day),2020,3.615
Central African Republic,Cost of a healthy diet (PPP dollar per person per day),2021,3.784
Central African Republic,Percentage of the population unable to afford a healthy diet (percent),2017,94.6
Central African Republic,Percentage of the population unable to afford a healthy diet (percent),2018,94.5
Central African Republic,Percentage of the population unable to afford a healthy diet (percent),2019,94.4
Central African Republic,Percentage of the population unable to afford a healthy diet (percent),2020,94.5
Central African Republic,Percentage of the population unable to afford a healthy diet (percent),2021,94.6
