Year,Algeria,Brazil,China,Fiji,Guatemala,Venezuela,Mexico,Somalia,Madagascar,India,Papua New Guinea,Romania,Ukraine,Tunisia,Morocco,Cabo Verde,Mauritius,Democratic Republic of the Congo,Central African Republic,Burundi,Kuwait,Turkey,Uzbekistan,Mongolia,Korea (DPR),Afghanistan,Timor-Leste,Yemen,Belarus,Bosnia & Herzegovina,Croatia,Estonia,Latvia,Bulgaria,Albania,Russian Federation,Cuba,Costa Rica,Dominican Republic,Jamaica,Trinidad & Tobago,Honduras,Nicaragua,Haiti,Solomon Islands,Chile,Uruguay,Argentina,Paraguay,Suriname,Bolivia (Plurinat. State of),Ecuador,Chad,Comoros
2000,17.4,14.5,2.3,21,12.9,19.4,19.4,4.1,2.3,1.6,13.3,16.2,19.1,18.2,16.7,6.3,6.8,3.1,3.9,2.4,29.6,22.2,9.8,11.6,4,2.3,1.4,8.8,18.8,12.6,17.5,17.4,19.3,18.6,13.2,19,17.3,14.8,16,15.9,10.6,12.6,15.6,10.9,13.5,20.6,20.6,20.7,12.3,18.9,13.2,13.2,2.9,4.1
2001,17.9,15,2.5,21.5,13.4,19.9,19.9,4.3,2.4,1.7,13.7,16.5,19.3,18.7,17.2,6.6,7,3.3,4.1,2.5,30.1,22.7,10.1,11.9,4.2,2.4,1.5,9.2,19.1,12.8,17.9,17.6,19.5,18.9,13.6,19.3,17.7,15.4,16.6,16.4,11,13.1,16,11.5,14,21,21,21.2,12.8,19.4,13.6,13.6,3.1,4.3
2002,18.5,15.5,2.6,22.1,13.9,20.3,20.3,4.5,2.5,1.8,14.1,16.8,19.6,19.2,17.7,6.9,7.2,3.4,4.2,2.6,30.5,23.3,10.4,12.3,4.3,2.6,1.6,9.6,19.5,13.1,18.3,17.8,19.7,19.3,14,19.5,18.2,16,17.2,16.9,11.5,13.5,16.5,12,14.4,21.5,21.4,21.6,13.3,19.8,14,14,3.2,4.5
2003,19.1,15.9,2.8,22.6,14.3,20.6,20.6,4.7,2.7,1.9,14.6,17.1,19.9,19.7,18.2,7.3,7.5,3.6,4.4,2.8,31,23.9,10.7,12.8,4.4,2.7,1.7,10.1,19.8,13.4,18.6,18,20,19.6,14.5,19.7,18.6,16.7,17.9,17.4,11.9,14,16.9,12.6,14.9,21.9,21.9,22.1,13.8,20.3,14.4,14.4,3.4,4.7
2004,19.6,16.4,3,23.2,14.8,21,21,4.9,2.8,2,15,17.5,20.2,20.2,18.7,7.6,7.7,3.8,4.6,2.9,31.5,24.5,11,13.3,4.6,2.9,1.8,10.5,20.2,13.7,19,18.2,20.2,20,14.9,19.9,19,17.3,18.6,17.9,12.4,14.5,17.4,13.3,15.4,22.4,22.3,22.5,14.2,20.7,14.8,14.8,3.6,4.9
2005,20.2,16.8,3.2,23.7,15.3,21.4,21.4,5.2,3,2.1,15.5,17.8,20.5,20.7,19.2,7.9,7.9,4,4.8,3.1,32,25.1,11.4,13.8,4.7,3,1.9,11,20.5,14,19.4,18.4,20.5,20.4,15.4,20.2,19.4,18,19.3,18.4,12.9,15,17.9,13.9,15.9,22.8,22.8,23,14.7,21.2,15.2,15.2,3.7,5.1
2006,20.8,17.3,3.5,24.3,15.8,21.8,21.8,5.4,3.1,2.3,15.9,18.2,20.8,21.3,19.8,8.2,8.1,4.2,5,3.2,32.5,25.7,11.8,14.3,4.9,3.2,2,11.4,20.9,14.3,19.8,18.6,20.7,20.8,16,20.4,19.9,18.6,20,18.9,13.3,15.6,18.4,14.7,16.5,23.3,23.2,23.4,15.2,21.6,15.7,15.6,3.9,5.3
2007,21.4,17.8,3.7,24.8,16.3,22.2,22.2,5.6,3.3,2.4,16.4,18.6,21.1,21.8,20.4,8.6,8.3,4.4,5.2,3.4,33,26.3,12.2,14.9,5,3.4,2.1,11.9,21.2,14.6,20.2,18.9,21,21.2,16.5,20.7,20.3,19.3,20.7,19.5,13.8,16.1,18.9,15.4,17,23.7,23.7,23.9,15.7,22.1,16.1,16,4.1,5.5
2008,22,18.2,3.9,25.4,16.8,22.5,22.5,5.9,3.5,2.5,16.9,19,21.4,22.3,20.9,8.9,8.6,4.6,5.4,3.6,33.5,26.9,12.6,15.5,5.2,3.6,2.3,12.4,21.6,14.9,20.7,19.1,21.3,21.6,17,20.9,20.8,20,21.5,20,14.3,16.7,19.4,16.2,17.6,24.2,24.1,24.4,16.2,22.5,16.5,16.4,4.3,5.7
2009,22.7,18.7,4.2,26,17.3,22.9,22.9,6.2,3.7,2.7,17.4,19.4,21.7,22.9,21.5,9.2,8.8,4.8,5.6,3.8,34,27.6,13,16.1,5.4,3.8,2.4,13,21.9,15.3,21.1,19.4,21.5,22,17.6,21.2,21.2,20.7,22.2,20.6,14.8,17.2,19.9,16.9,18.1,24.7,24.6,24.8,16.7,23,17,16.8,4.5,5.9
