Area,Item,Year,Value
India,Insecticides,2000,26227.25
India,Pesticides (total),2000,44957.52
Madagascar,Insecticides,2000,59.45
Madagascar,Pesticides (total),2000,130.46
Mexico,Insecticides,2000,5852.18
Mexico,Pesticides (total),2000,26624.98
Papua New Guinea,Insecticides,2000,2.24
Papua New Guinea,Pesticides (total),2000,235.47
Romania,Insecticides,2000,1239.3
Romania,Pesticides (total),2000,9427.4
Somalia,Insecticides,2000,7.97
Somalia,Pesticides (total),2000,20.88
Brazil,Insecticides,2000,28382
Brazil,Pesticides (total),2000,141129.91
Ukraine,Insecticides,2000,5356.05
Ukraine,Pesticides (total),2000,27343.71
Venezuela (Bolivarian Republic of),Insecticides,2000,767
Venezuela (Bolivarian Republic of),Pesticides (total),2000,3928
China,Insecticides,2000,67785.65
China,Pesticides (total),2000,250631.62
Algeria,Insecticides,2000,536.25
Algeria,Pesticides (total),2000,2537.4
Fiji,Insecticides,2000,237.43
Fiji,Pesticides (total),2000,341.25
Guatemala,Insecticides,2000,1476
Guatemala,Pesticides (total),2000,9696.94
Guatemala,Pesticides (total),2003,10739.99
Guatemala,Insecticides,2003,1496.21
Fiji,Pesticides (total),2003,416.81
Fiji,Insecticides,2003,288.1
Algeria,Pesticides (total),2003,3465.11
Algeria,Insecticides,2003,1169.44
China,Pesticides (total),2003,260473.58
China,Insecticides,2003,71045.05
Venezuela (Bolivarian Republic of),Pesticides (total),2003,3928
Venezuela (Bolivarian Republic of),Insecticides,2003,767
Ukraine,Pesticides (total),2003,12558.1
Ukraine,Insecticides,2003,2022.7
Brazil,Pesticides (total),2003,183340.48
Brazil,Insecticides,2003,34049
Somalia,Pesticides (total),2003,38.93
Somalia,Insecticides,2003,15.11
Romania,Pesticides (total),2003,6928.1
Romania,Insecticides,2003,1031.7
Papua New Guinea,Pesticides (total),2003,311.2
Papua New Guinea,Insecticides,2003,2.96
Mexico,Pesticides (total),2003,16285.16
Mexico,Insecticides,2003,4105.84
Madagascar,Pesticides (total),2003,146.76
Madagascar,Insecticides,2003,12.94
India,Pesticides (total),2003,41245.08
India,Insecticides,2003,22694
India,Insecticides,2006,16913
India,Pesticides (total),2006,37423
Madagascar,Insecticides,2006,29.48
Madagascar,Pesticides (total),2006,109.39
Mexico,Insecticides,2006,6122.5
Mexico,Pesticides (total),2006,38402.66
Papua New Guinea,Insecticides,2006,3.54
Papua New Guinea,Pesticides (total),2006,371.76
Romania,Insecticides,2006,855.6
Romania,Pesticides (total),2006,6733.2
Somalia,Insecticides,2006,46.22
Somalia,Pesticides (total),2006,123.59
Brazil,Insecticides,2006,45435
Brazil,Pesticides (total),2006,239892.01
Ukraine,Insecticides,2006,4508
Ukraine,Pesticides (total),2006,28832.6
Venezuela (Bolivarian Republic of),Insecticides,2006,767
Venezuela (Bolivarian Republic of),Pesticides (total),2006,3928
China,Insecticides,2006,81267.99
China,Pesticides (total),2006,299316.27
Algeria,Insecticides,2006,236.4
Algeria,Pesticides (total),2006,2504.01
Fiji,Insecticides,2006,338.77
Fiji,Pesticides (total),2006,492.36
Guatemala,Insecticides,2006,2271.47
Guatemala,Pesticides (total),2006,15951.27
Guatemala,Pesticides (total),2009,13276.7
Guatemala,Insecticides,2009,1350.26
Fiji,Pesticides (total),2009,709.7
Fiji,Insecticides,2009,353.51
Algeria,Pesticides (total),2009,3168.41
Algeria,Insecticides,2009,497.12
China,Pesticides (total),2009,331298.46
China,Insecticides,2009,89742.84
Venezuela (Bolivarian Republic of),Pesticides (total),2009,3928
Venezuela (Bolivarian Republic of),Insecticides,2009,767
Ukraine,Pesticides (total),2009,36444.7
Ukraine,Insecticides,2009,5903.4
Brazil,Pesticides (total),2009,337391.08
Brazil,Insecticides,2009,61180
Somalia,Pesticides (total),2009,123.39
Somalia,Insecticides,2009,38.58
Romania,Pesticides (total),2009,6548.7
Romania,Insecticides,2009,1046.3
Papua New Guinea,Pesticides (total),2009,421.34
Papua New Guinea,Insecticides,2009,4.01
Mexico,Pesticides (total),2009,50327.9
Mexico,Insecticides,2009,8067.44
Madagascar,Pesticides (total),2009,143.9
Madagascar,Insecticides,2009,43.06
India,Pesticides (total),2009,28707.01
India,Insecticides,2009,14810.19
India,Insecticides,2012,27245.82
India,Pesticides (total),2012,52980
