Country,'98–'02, '04–'08, '10–'14, '16–'20
Afghanistan,51.2,59.3,40.4,38.2
Albania,39.2,26.7,17.4,11.3
Algeria,23.6,15.4,11.7,9.8
Angola,46.8,29.2,32.9,37.6
Argentina,9.5,8.2,7.5,7.9
Armenia,17.3,17.9,20.9,9.4
Azerbaijan,24.2,26.5,17.1,12.9
Bahrain,5.5,4.6,4.3,3.9
Bangladesh,51.1,45.1,40.8,28
Belarus,6.1,4.5,3.4,3.3
Benin,36.2,37.4,34,32.2
Bhutan,47.7,34.9,33.5,22.4
Bolivia (Plurinat. State of),33.2,29.8,18.2,16.1
Bosnia & Herzegovina,12.1,11.8,8.9,8.1
Botswana,29.1,28.9,21.4,17.6
Brazil,10,7,6.9,6.4
Bulgaria,11,9.2,7,6.7
Burkina Faso,41.4,33.9,32.8,23.8
Burundi,64,57.7,57.6,54
Cabo Verde,15.1,11.2,9,7.8
Cambodia,49,42.8,39.8,28.9
Cameroon,38.2,37.6,32.6,28.9
Central African Republic,44.4,43.6,39.7,40
Chad,38.9,44.4,38.7,35.1
Chile,3,2.2,1.8,1.7
China,17.8,11.7,8.1,4.8
Colombia,18.2,16,12.6,12.7
Comoros,46.9,49.8,31.1,36
Congo (Republic of),30.2,31.2,24.4,25.3
Costa Rica,11,8,5.9,9
Côte d'Ivoire,31.2,39,29.9,21.6
Croatia,1.3,1,1,0.9
Cuba,7,7.5,6.2,7.1
Dem. Rep. of the Congo,44.4,45.8,43,41.8
Djibouti,27.1,33,33.5,27.4
Dominican Republic,7.7,8.4,7.1,4.8
Ecuador,27.9,25.9,25.4,23
Egypt,24.4,23.9,22.3,22.2
El Salvador,32.3,20.8,13.6,14.7
Equatorial Guinea,42.7,35,26.2,25.7
Eritrea,43,—,52.5,—
Estonia,1.6,1.3,1.3,1.1
Eswatini,36.5,29.2,28.2,28.5
Ethiopia,57.4,50,44.4,36.8
Fiji,5.6,7.5,3.9,3.2
Gabon,25.9,21.1,17,17.6
Gambia,24.1,27.7,21.1,17.5
Georgia,16.1,14.6,6.3,5.8
Ghana,30.6,27.9,22.8,17.5
Guatemala,51,50.9,45.8,39.5
Guinea,46.9,39.3,32.8,30.3
Guinea-Bissau,33.8,31.7,26.4,27.9
Guyana,13.9,17.9,11.3,9.1
Haiti,28.8,29.6,22,21.9
Honduras,35.5,29.8,22.6,21.1
India,54.2,47.8,38.7,34.7
Indonesia,42.4,40.1,36.4,30.8
Iran (Islamic Republic of),20.4,7.1,6.8,7.9
Iraq,28.1,27.5,22.1,12.6
Jamaica,7.2,7.5,6.8,9.3
Jordan,11.7,9.6,7.8,7.5
Kazakhstan,13.2,17.5,13.1,9.1
Kenya,40.8,40.3,26.3,25
Korea (DPR),51,43.1,27.9,19.1
Kuwait,4,4.6,4.3,6.4
Kyrgyzstan,22.9,18.1,17.9,11.8
Lao PDR,47.5,47.7,44.2,33.1
Latvia,4.9,3.4,3.3,3.1
Lebanon,15.9,16.5,12.4,13
Lesotho,43.4,43.3,36.4,34.6
Liberia,45.3,39.6,32.1,29.8
Libya,34.2,21,38.1,29.4
Lithuania,5.1,3.7,3.2,2.7
Madagascar,54.8,52.7,48.9,41.6
Malawi,54.7,53.1,44.8,40.9
Malaysia,20.7,17.5,18.8,21.8
Maldives,31.9,22.1,16.8,15.3
Mali,42.5,37.6,26.8,26.4
Mauritania,38.6,31.5,23.2,22.8
Mauritius,12.8,11.9,10.9,10
Mexico,21.4,15.5,13.6,14.1
Moldova (Republic of),13.3,10.7,6.4,5.4
Mongolia,29.8,27.5,10.8,9.4
Montenegro,—,7.9,9.4,7.2
Morocco,24.8,23.1,14.9,15.1
Mozambique,50.7,43.5,42.9,37.6
Myanmar,40.8,38.9,35.1,26.7
Namibia,29.3,29.2,22.7,17.7
Nepal,57.1,49.2,40.1,31.5
Nicaragua,25.1,20.9,17.3,15.6
Niger,53.5,52.9,41.7,47.1
Nigeria,47.8,41.6,35.8,31.5
North Macedonia,8,11.3,4.9,4.3
Oman,15.8,14.7,14.1,11.4
Pakistan,41.4,43.2,44.3,37.6
Panama,21.9,19,15.9,15.8
Papua New Guinea,47.9,43.9,49.5,39.7
Paraguay,13.6,17.5,10.7,5.6
Peru,31.3,29.2,18.4,12.2
Philippines,38.3,32,33.4,30.3
Qatar,2.1,1.5,1.2,1.9
Romania,12.8,10.5,9.5,8.2
